 27
 11
 Generic
 Generic
 Generic

 WORLD
      YEARS  FossilCO2   OtherCO2        CH4        N2O        SOx         CO      NMVOC        NOx         BC         OC        NH3        CF4       C2F6      C6F14      HFC23      HFC32   HFC43-10     HFC125    HFC134a    HFC143a   HFC227ea   HFC245fa        SF6
        Yrs        GtC        GtC      MtCH4    MtN2O-N        MtS       MtCO         Mt        MtN         Mt         Mt        MtN         kt         kt         kt         kt         kt         kt         kt         kt         kt         kt         kt         kt
       2222     0.9855     0.0009   267.3890     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8308    81.4266    10.4531    23.3623   402.3094    35.3890     0.0600    69.3545     0.2246
       2223     0.9807     0.0009   267.4050     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8308    81.4266    10.4531    23.3630   402.3228    35.3902     0.0600    69.3568     0.2246
       2224     0.9759     0.0009   267.4210     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8308    81.4266    10.4531    23.3638   402.3362    35.3914     0.0600    69.3591     0.2246
       2225     0.9712     0.0009   267.4370     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8308    81.4266    10.4531    23.3646   402.3496    35.3925     0.0600    69.3614     0.2246
       2226     0.9664     0.0009   267.4530     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8308    81.4266    10.4531    23.3654   402.3631    35.3937     0.0600    69.3637     0.2246
       2227     0.9616     0.0009   267.4690     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8308    81.4266    10.4531    23.3662   402.3765    35.3949     0.0600    69.3660     0.2246
       2228     0.9568     0.0009   267.4850     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8308    81.4266    10.4531    23.3669   402.3899    35.3961     0.0600    69.3683     0.2246
       2229     0.9521     0.0009   267.5010     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8308    81.4266    10.4531    23.3677   402.4034    35.3973     0.0600    69.3707     0.2246
       2230     0.9473     0.0009   267.5170     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8311    81.4537    10.4566    23.3685   402.4168    35.3985     0.0600    69.3730     0.2246
       2231     0.9431     0.0009   267.5323     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8311    81.4537    10.4566    23.3693   402.4296    35.3996     0.0600    69.3752     0.2246
       2232     0.9390     0.0009   267.5475     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8311    81.4537    10.4566    23.3700   402.4424    35.4008     0.0600    69.3774     0.2246
       2233     0.9348     0.0009   267.5628     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8311    81.4537    10.4566    23.3708   402.4552    35.4019     0.0600    69.3796     0.2246
       2234     0.9307     0.0009   267.5780     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8311    81.4537    10.4566    23.3715   402.4680    35.4030     0.0600    69.3818     0.2246
       2235     0.9265     0.0009   267.5933     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8311    81.4537    10.4566    23.3723   402.4808    35.4042     0.0600    69.3840     0.2246
       2236     0.9223     0.0009   267.6086     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8311    81.4537    10.4566    23.3730   402.4937    35.4053     0.0600    69.3862     0.2246
       2237     0.9182     0.0009   267.6238     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8311    81.4537    10.4566    23.3738   402.5065    35.4064     0.0600    69.3885     0.2246
       2238     0.9140     0.0009   267.6391     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8311    81.4537    10.4566    23.3745   402.5193    35.4075     0.0600    69.3907     0.2246
       2239     0.9099     0.0009   267.6543     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8311    81.4537    10.4566    23.3753   402.5321    35.4087     0.0600    69.3929     0.2246
       2240     0.9057     0.0009   267.6696     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8313    81.4797    10.4599    23.3760   402.5449    35.4098     0.0600    69.3951     0.2246
       2241     0.9021     0.0009   267.6842     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8313    81.4797    10.4599    23.3767   402.5571    35.4109     0.0600    69.3972     0.2246
       2242     0.8984     0.0009   267.6988     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8313    81.4797    10.4599    23.3774   402.5694    35.4119     0.0600    69.3993     0.2246
       2243     0.8948     0.0009   267.7134     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8313    81.4797    10.4599    23.3781   402.5817    35.4130     0.0600    69.4014     0.2246
       2244     0.8911     0.0009   267.7280     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8313    81.4797    10.4599    23.3788   402.5939    35.4141     0.0600    69.4035     0.2246
       2245     0.8875     0.0009   267.7425     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8313    81.4797    10.4599    23.3795   402.6062    35.4151     0.0600    69.4056     0.2246
       2246     0.8839     0.0009   267.7571     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8313    81.4797    10.4599    23.3803   402.6184    35.4162     0.0600    69.4077     0.2246
       2247     0.8802     0.0009   267.7717     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8313    81.4797    10.4599    23.3810   402.6307    35.4173     0.0600    69.4098     0.2246
       2248     0.8766     0.0009   267.7863     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8313    81.4797    10.4599    23.3817   402.6429    35.4184     0.0600    69.4119     0.2246
       2249     0.8729     0.0009   267.8009     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8313    81.4797    10.4599    23.3824   402.6551    35.4194     0.0600    69.4140     0.2246
       2250     0.8693     0.0009   267.8155     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8316    81.5045    10.4631    23.3831   402.6674    35.4205     0.0600    69.4161     0.2246
       2251     0.8661     0.0009   267.8295     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8316    81.5045    10.4631    23.3838   402.6791    35.4215     0.0600    69.4181     0.2246
       2252     0.8629     0.0009   267.8434     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8316    81.5045    10.4631    23.3845   402.6909    35.4226     0.0600    69.4202     0.2246
       2253     0.8597     0.0009   267.8574     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8316    81.5045    10.4631    23.3851   402.7026    35.4236     0.0600    69.4222     0.2246
       2254     0.8565     0.0009   267.8713     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8316    81.5045    10.4631    23.3858   402.7143    35.4246     0.0600    69.4242     0.2246
       2255     0.8533     0.0009   267.8853     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8316    81.5045    10.4631    23.3865   402.7260    35.4256     0.0600    69.4263     0.2246
       2256     0.8501     0.0009   267.8993     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8316    81.5045    10.4631    23.3872   402.7378    35.4267     0.0600    69.4283     0.2246
       2257     0.8469     0.0009   267.9132     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8316    81.5045    10.4631    23.3879   402.7495    35.4277     0.0600    69.4303     0.2246
       2258     0.8437     0.0009   267.9272     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8316    81.5045    10.4631    23.3885   402.7612    35.4287     0.0600    69.4323     0.2246
       2259     0.8405     0.0009   267.9411     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8316    81.5045    10.4631    23.3892   402.7730    35.4298     0.0600    69.4344     0.2246
       2260     0.8373     0.0009   267.9551     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8318    81.5282    10.4661    23.3899   402.7847    35.4308     0.0600    69.4364     0.2246
       2261     0.8344     0.0009   267.9685     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8318    81.5282    10.4661    23.3905   402.7959    35.4318     0.0600    69.4383     0.2246
       2262     0.8316     0.0009   267.9819     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8318    81.5282    10.4661    23.3912   402.8071    35.4328     0.0600    69.4403     0.2246
       2263     0.8288     0.0009   267.9952     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8318    81.5282    10.4661    23.3918   402.8183    35.4337     0.0600    69.4422     0.2246
       2264     0.8259     0.0009   268.0086     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8318    81.5282    10.4661    23.3925   402.8295    35.4347     0.0600    69.4441     0.2246
       2265     0.8230     0.0009   268.0220     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8318    81.5282    10.4661    23.3931   402.8407    35.4357     0.0600    69.4460     0.2246
       2266     0.8202     0.0009   268.0354     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8318    81.5282    10.4661    23.3937   402.8519    35.4367     0.0601    69.4480     0.2246
       2267     0.8174     0.0009   268.0488     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8318    81.5282    10.4661    23.3944   402.8631    35.4377     0.0601    69.4499     0.2246
       2268     0.8145     0.0009   268.0621     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8318    81.5282    10.4661    23.3950   402.8743    35.4386     0.0601    69.4518     0.2246
       2269     0.8116     0.0009   268.0755     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8318    81.5282    10.4661    23.3957   402.8855    35.4396     0.0601    69.4537     0.2246
       2270     0.8088     0.0009   268.0889     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8321    81.5509    10.4690    23.3963   402.8967    35.4406     0.0601    69.4557     0.2246
       2271     0.8063     0.0009   268.1017     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8321    81.5509    10.4690    23.3969   402.9075    35.4416     0.0601    69.4575     0.2246
       2272     0.8038     0.0009   268.1146     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8321    81.5509    10.4690    23.3976   402.9183    35.4425     0.0601    69.4594     0.2246
       2273     0.8013     0.0009   268.1274     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8321    81.5509    10.4690    23.3982   402.9290    35.4435     0.0601    69.4612     0.2246
       2274     0.7988     0.0009   268.1403     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8321    81.5509    10.4690    23.3989   402.9398    35.4444     0.0601    69.4631     0.2246
       2275     0.7962     0.0009   268.1531     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8321    81.5509    10.4690    23.3995   402.9506    35.4454     0.0601    69.4649     0.2246
       2276     0.7937     0.0009   268.1659     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8321    81.5509    10.4690    23.4001   402.9614    35.4464     0.0601    69.4668     0.2246
       2277     0.7912     0.0009   268.1788     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8321    81.5509    10.4690    23.4008   402.9722    35.4473     0.0601    69.4686     0.2246
       2278     0.7887     0.0009   268.1916     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8321    81.5509    10.4690    23.4014   402.9829    35.4483     0.0601    69.4705     0.2246
       2279     0.7862     0.0009   268.2045     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8321    81.5509    10.4690    23.4021   402.9937    35.4492     0.0601    69.4723     0.2246
       2280     0.7837     0.0009   268.2173     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8323    81.5727    10.4718    23.4027   403.0045    35.4502     0.0601    69.4742     0.2246
       2281     0.7814     0.0009   268.2296     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8323    81.5727    10.4718    23.4033   403.0149    35.4511     0.0601    69.4760     0.2246
       2282     0.7791     0.0009   268.2420     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8323    81.5727    10.4718    23.4039   403.0252    35.4520     0.0601    69.4778     0.2246
       2283     0.7769     0.0009   268.2543     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8323    81.5727    10.4718    23.4045   403.0356    35.4529     0.0601    69.4796     0.2246
       2284     0.7746     0.0009   268.2666     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8323    81.5727    10.4718    23.4051   403.0459    35.4538     0.0601    69.4813     0.2246
       2285     0.7723     0.0009   268.2790     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8323    81.5727    10.4718    23.4057   403.0563    35.4547     0.0601    69.4831     0.2246
       2286     0.7700     0.0009   268.2913     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8323    81.5727    10.4718    23.4063   403.0667    35.4557     0.0601    69.4849     0.2246
       2287     0.7677     0.0009   268.3036     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8323    81.5727    10.4718    23.4069   403.0770    35.4566     0.0601    69.4867     0.2246
       2288     0.7655     0.0009   268.3159     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8323    81.5727    10.4718    23.4075   403.0874    35.4575     0.0601    69.4885     0.2246
       2289     0.7632     0.0009   268.3283     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8323    81.5727    10.4718    23.4081   403.0977    35.4584     0.0601    69.4903     0.2246
       2290     0.7609     0.0009   268.3406     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8325    81.5937    10.4745    23.4087   403.1081    35.4593     0.0601    69.4921     0.2246
       2291     0.7588     0.0009   268.3525     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8325    81.5937    10.4745    23.4093   403.1181    35.4602     0.0601    69.4938     0.2246
       2292     0.7568     0.0009   268.3643     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8325    81.5937    10.4745    23.4099   403.1280    35.4610     0.0601    69.4955     0.2246
       2293     0.7547     0.0009   268.3762     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8325    81.5937    10.4745    23.4104   403.1380    35.4619     0.0601    69.4972     0.2246
       2294     0.7527     0.0009   268.3881     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8325    81.5937    10.4745    23.4110   403.1479    35.4628     0.0601    69.4990     0.2246
       2295     0.7506     0.0009   268.3999     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8325    81.5937    10.4745    23.4116   403.1579    35.4637     0.0602    69.5007     0.2246
       2296     0.7485     0.0009   268.4118     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8325    81.5937    10.4745    23.4122   403.1679    35.4645     0.0602    69.5024     0.2246
       2297     0.7465     0.0009   268.4237     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8325    81.5937    10.4745    23.4128   403.1778    35.4654     0.0602    69.5041     0.2246
       2298     0.7444     0.0009   268.4356     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8325    81.5937    10.4745    23.4133   403.1878    35.4663     0.0602    69.5059     0.2246
       2299     0.7424     0.0009   268.4474     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8325    81.5937    10.4745    23.4139   403.1977    35.4671     0.0602    69.5076     0.2246
       2300     0.7403     0.0009   268.4593     7.0085    42.5044   477.2996   140.0338    18.0559     3.8621    19.4005    43.5687     0.0513     0.0319     0.0058     0.8327    81.6138    10.4771    23.4145   403.2077    35.4680     0.0602    69.5093     0.2246
                                                                                                                                                                                                                                                                        
