vtag,Model,year,CO2 concentration response,Total forcing response,Temperature response
MAGICC 6.0,CO2 (100 PgC),2196,21.39014,0.2052005,0.1414
MAGICC 6.0,CO2 (100 PgC),2197,21.37765,0.2050933,0.1413
MAGICC 6.0,CO2 (100 PgC),2198,21.3652,0.2049865,0.1413
MAGICC 6.0,CO2 (100 PgC),2199,21.35278,0.20488,0.1413
MAGICC 6.0,CO2 (100 PgC),2200,21.34039,0.2047739,0.1413
MAGICC 6.0,CO2 (100 PgC),2201,21.32805,0.2046682,0.1412
MAGICC 6.0,CO2 (100 PgC),2202,21.31573,0.2045627,0.1413
MAGICC 6.0,CO2 (100 PgC),2203,21.30346,0.2044576,0.1412
MAGICC 6.0,CO2 (100 PgC),2204,21.29123,0.2043526,0.1412
MAGICC 6.0,CO2 (100 PgC),2205,21.27903,0.2042479,0.1412
MAGICC 6.0,CO2 (100 PgC),2206,21.26687,0.2041435,0.1411
MAGICC 6.0,CO2 (100 PgC),2207,21.25474,0.2040394,0.1411
MAGICC 6.0,CO2 (100 PgC),2208,21.24265,0.2039356,0.1411
MAGICC 6.0,CO2 (100 PgC),2209,21.23058,0.2038321,0.1411
MAGICC 6.0,CO2 (100 PgC),2210,21.21856,0.203729,0.1411
MAGICC 6.0,CO2 (100 PgC),2211,21.20656,0.203626,0.1411
MAGICC 6.0,CO2 (100 PgC),2212,21.1946,0.2035234,0.1411
MAGICC 6.0,CO2 (100 PgC),2213,21.18267,0.203421,0.1411
MAGICC 6.0,CO2 (100 PgC),2214,21.17078,0.2033188,0.1411
MAGICC 6.0,CO2 (100 PgC),2215,21.15891,0.2032168,0.141
MAGICC 6.0,CO2 (100 PgC),2216,21.14708,0.203115,0.141
MAGICC 6.0,CO2 (100 PgC),2217,21.13528,0.2030136,0.141
MAGICC 6.0,CO2 (100 PgC),2218,21.1235,0.2029123,0.141
MAGICC 6.0,CO2 (100 PgC),2219,21.11176,0.2028113,0.1409
MAGICC 6.0,CO2 (100 PgC),2220,21.10005,0.2027106,0.1409
MAGICC 6.0,CO2 (100 PgC),2221,21.08837,0.2026101,0.1409
MAGICC 6.0,CO2 (100 PgC),2222,21.07672,0.2025099,0.1409
MAGICC 6.0,CO2 (100 PgC),2223,21.06509,0.2024098,0.1409
MAGICC 6.0,CO2 (100 PgC),2224,21.05351,0.2023099,0.1408
MAGICC 6.0,CO2 (100 PgC),2225,21.04194,0.2022102,0.1409
MAGICC 6.0,CO2 (100 PgC),2226,21.0304,0.2021107,0.1409
MAGICC 6.0,CO2 (100 PgC),2227,21.0189,0.2020114,0.1408
MAGICC 6.0,CO2 (100 PgC),2228,21.00742,0.2019123,0.1408
MAGICC 6.0,CO2 (100 PgC),2229,20.99596,0.2018135,0.1408
MAGICC 6.0,CO2 (100 PgC),2230,20.98455,0.2017148,0.1407
MAGICC 6.0,CO2 (100 PgC),2231,20.97315,0.2016165,0.1407
MAGICC 6.0,CO2 (100 PgC),2232,20.96177,0.2015182,0.1407
MAGICC 6.0,CO2 (100 PgC),2233,20.95044,0.2014201,0.1407
MAGICC 6.0,CO2 (100 PgC),2234,20.93912,0.2013222,0.1407
MAGICC 6.0,CO2 (100 PgC),2235,20.92783,0.2012245,0.1407
MAGICC 6.0,CO2 (100 PgC),2236,20.91657,0.201127,0.1407
MAGICC 6.0,CO2 (100 PgC),2237,20.90534,0.2010296,0.1406
MAGICC 6.0,CO2 (100 PgC),2238,20.89413,0.2009325,0.1406
MAGICC 6.0,CO2 (100 PgC),2239,20.88294,0.2008355,0.1406
MAGICC 6.0,CO2 (100 PgC),2240,20.87178,0.2007388,0.1406
MAGICC 6.0,CO2 (100 PgC),2241,20.86065,0.2006422,0.1405
MAGICC 6.0,CO2 (100 PgC),2242,20.84955,0.2005458,0.1405
MAGICC 6.0,CO2 (100 PgC),2243,20.83846,0.2004496,0.1405
MAGICC 6.0,CO2 (100 PgC),2244,20.82741,0.2003535,0.1405
MAGICC 6.0,CO2 (100 PgC),2245,20.81637,0.2002575,0.1404
MAGICC 6.0,CO2 (100 PgC),2246,20.80536,0.2001618,0.1405
MAGICC 6.0,CO2 (100 PgC),2247,20.79438,0.2000661,0.1404
MAGICC 6.0,CO2 (100 PgC),2248,20.78342,0.1999706,0.1404
MAGICC 6.0,CO2 (100 PgC),2249,20.77248,0.1998754,0.1404
MAGICC 6.0,CO2 (100 PgC),2250,20.76702,0.1998279,0.1404
MAGICC 6.0,CO2 (100 PgC),2251,20.76702,0.1998279,0.1404
MAGICC 6.0,CO2 (100 PgC),2252,20.76702,0.1998279,0.1404
MAGICC 6.0,CO2 (100 PgC),2253,20.76702,0.1998279,0.1404
MAGICC 6.0,CO2 (100 PgC),2254,20.76702,0.1998279,0.1404
MAGICC 6.0,CO2 (100 PgC),2255,20.76702,0.1998279,0.1404
MAGICC 6.0,CO2 (100 PgC),2256,20.76702,0.1998279,0.1405
MAGICC 6.0,CO2 (100 PgC),2257,20.76702,0.1998279,0.1405
MAGICC 6.0,CO2 (100 PgC),2258,20.76702,0.1998279,0.1405
MAGICC 6.0,CO2 (100 PgC),2259,20.76702,0.1998279,0.1405
MAGICC 6.0,CO2 (100 PgC),2260,20.76702,0.1998279,0.1406
MAGICC 6.0,CO2 (100 PgC),2261,20.76702,0.1998279,0.1405
MAGICC 6.0,CO2 (100 PgC),2262,20.76702,0.1998279,0.1406
MAGICC 6.0,CO2 (100 PgC),2263,20.76702,0.1998279,0.1406
MAGICC 6.0,CO2 (100 PgC),2264,20.76702,0.1998279,0.1406
MAGICC 6.0,CO2 (100 PgC),2265,20.76702,0.1998279,0.1406
MAGICC 6.0,CO2 (100 PgC),2266,20.76702,0.1998279,0.1407
MAGICC 6.0,CO2 (100 PgC),2267,20.76702,0.1998279,0.1407
MAGICC 6.0,CO2 (100 PgC),2268,20.76702,0.1998279,0.1407
MAGICC 6.0,CO2 (100 PgC),2269,20.76702,0.1998279,0.1407
MAGICC 6.0,CO2 (100 PgC),2270,20.76702,0.1998279,0.1408
MAGICC 6.0,CO2 (100 PgC),2271,20.76702,0.1998279,0.1408
MAGICC 6.0,CO2 (100 PgC),2272,20.76702,0.1998279,0.1408
MAGICC 6.0,CO2 (100 PgC),2273,20.76702,0.1998279,0.1409
MAGICC 6.0,CO2 (100 PgC),2274,20.76702,0.1998279,0.1409
MAGICC 6.0,CO2 (100 PgC),2275,20.76702,0.1998279,0.1409
MAGICC 6.0,CO2 (100 PgC),2276,20.76702,0.1998279,0.141
MAGICC 6.0,CO2 (100 PgC),2277,20.76702,0.1998279,0.141
MAGICC 6.0,CO2 (100 PgC),2278,20.76702,0.1998279,0.141
MAGICC 6.0,CO2 (100 PgC),2279,20.76702,0.1998279,0.141
MAGICC 6.0,CO2 (100 PgC),2280,20.76702,0.1998279,0.141
MAGICC 6.0,CO2 (100 PgC),2281,20.76702,0.1998279,0.141
MAGICC 6.0,CO2 (100 PgC),2282,20.76702,0.1998279,0.1411
MAGICC 6.0,CO2 (100 PgC),2283,20.76702,0.1998279,0.1411
MAGICC 6.0,CO2 (100 PgC),2284,20.76702,0.1998279,0.1412
MAGICC 6.0,CO2 (100 PgC),2285,20.76702,0.1998279,0.1412
MAGICC 6.0,CO2 (100 PgC),2286,20.76702,0.1998279,0.1412
MAGICC 6.0,CO2 (100 PgC),2287,20.76702,0.1998279,0.1413
MAGICC 6.0,CO2 (100 PgC),2288,20.76702,0.1998279,0.1413
MAGICC 6.0,CO2 (100 PgC),2289,20.76702,0.1998279,0.1413
MAGICC 6.0,CO2 (100 PgC),2290,20.76702,0.1998279,0.1413
MAGICC 6.0,CO2 (100 PgC),2291,20.76702,0.1998279,0.1413
MAGICC 6.0,CO2 (100 PgC),2292,20.76702,0.1998279,0.1413
MAGICC 6.0,CO2 (100 PgC),2293,20.76702,0.1998279,0.1414
MAGICC 6.0,CO2 (100 PgC),2294,20.76702,0.1998279,0.1414
MAGICC 6.0,CO2 (100 PgC),2295,20.76702,0.1998279,0.1415
MAGICC 6.0,CO2 (100 PgC),2296,20.76702,0.1998279,0.1414
MAGICC 6.0,CO2 (100 PgC),2297,20.76702,0.1998279,0.1415
MAGICC 6.0,CO2 (100 PgC),2298,20.76702,0.1998279,0.1416
MAGICC 6.0,CO2 (100 PgC),2299,20.76702,0.1998279,0.1415
MAGICC 6.0,CO2 (100 PgC),2300,20.76702,0.1998279,0.1416
